ID,Distance,Contained,NPolys
bebe1252,0,True,1
bedo1237,0,True,1
beem1239,0.08229432611436363,False,1
befa1241,0.031046376352547884,False,1
beja1238,0,True,4
bekw1241,0,True,1
bekw1242,0,False,2
bela1254,0,True,1
belh1239,0.01062923834580701,False,2
beli1258,0,True,1
bell1243,0,True,2
bemb1255,0.18337734894202454,False,1
bemb1257,0,True,4
bena1260,0,False,1
bena1262,0,True,1
bena1264,0,True,1
benc1235,0.2903599132355788,False,1
bend1258,0.3017679171529046,False,1
beng1280,0,True,10
beng1282,0,False,3
beng1286,0.23567315717152718,False,1
beot1247,0,True,1
bepo1240,0,True,1
beri1253,0,True,1
beri1254,0,True,1
bero1242,0,True,1
besi1244,0,True,6
beta1252,0,True,1
bete1262,0.05147449847814439,False,1
beti1248,0.33431711484530224,False,1
beto1236,0.18099369693637107,False,1
bezh1248,0.04013897634363398,False,1
bhad1241,0.25815026816428766,False,2
bhat1265,0.5378517969777877,False,1
bhel1238,0,True,1
bhil1251,0.2644911008409028,False,2
bhoj1244,0,True,1
bhot1235,0,True,2
biaf1240,0.04560799688047006,False,4
biak1248,0,True,14
bial1238,0,True,1
bian1251,0,True,1
bian1252,0,True,1
biat1246,0,True,1
bier1244,0,True,1
bier1246,0,True,2
bign1238,0,True,1
bila1255,0,True,2
bila1257,0,True,1
bilb1241,0,True,1
bile1244,0.6222326269512753,False,1
bili1260,0,True,1
bilo1248,0.749464440960239,False,1
bilu1245,0,True,3
bima1247,0,True,4
bimi1240,0,True,1
bina1270,0.2341443543488232,False,1
bina1271,0.003917019435766691,False,1
bina1274,0.03425451250875543,False,1
bina1277,0,True,1
bine1240,0,True,1
bini1246,0,True,1
binj1249,1.8047789324148584,False,3
bint1245,0.0884627721060487,False,1
bint1246,0,True,4
binu1244,0,True,1
binu1245,0.01369791322423244,False,1
bira1254,0,True,1
birh1242,0,True,1
birr1240,0.3520192737221314,False,2
bise1238,0,True,1
bish1244,0,True,1
bisi1244,0,True,1
biso1243,0.1797485739491919,False,1
biss1248,1.0422243506939306,False,1
bisu1244,0,False,4
bita1251,0.49040122513054524,False,1
bitt1240,0,False,2
bitu1242,0,True,1
biyo1243,0.2089933511914346,False,1
biyo1244,0,True,1
blab1237,0,True,1
blaf1238,0,True,1
blag1240,0.0172468792337211,False,1
blan1242,0.39719538392821185,False,1
boan1242,0.0008023281152509797,False,1
boan1243,0,True,1
bobo1254,0,True,1
bodo1267,0.3796682262432624,False,1
bodo1269,0,False,4
bodo1272,0.4881263787942759,False,1
bofi1238,0,True,1
boga1247,0.04275627830650138,False,1
bogh1241,0,True,2
bogu1241,0,False,4
boik1241,0.257654893615347,False,2
boko1261,0,False,1
boko1263,0,True,1
boky1238,0,True,1
bola1250,0,True,2
bola1252,0,False,2
bolg1251,0.11307716696457555,False,1
boli1255,0,True,1
boli1256,0,True,3
bolo1261,0,True,1
bolo1262,0.11476035368912117,False,1
bolo1266,0.01737444541853561,False,1
boly1239,0.5186931548020851,False,1
boma1251,0,False,2
bomb1262,0,True,4
bomi1238,1.208826713648989,False,1
bomk1234,1.3129843397798184,False,2
bomw1238,0.20587278080447416,False,1
bona1250,0,True,3
bond1245,0.7346694128953196,False,1
bond1247,0,True,1
bone1254,0.09030630509820571,False,2
bone1255,0.3183117432870251,False,1
bong1282,0,True,1
bong1285,0.24097553654303397,False,2
bong1287,0,True,1
bong1291,0,True,1
bonj1234,0,False,4
bonk1243,0.02706496959641124,False,1
bonk1244,0,True,1
book1241,0,True,2
boon1242,0.051677361899337734,False,1
bopa1235,0,True,1
bora1263,0,False,1
bora1271,1.850145402153307,False,2
